Composition Code,P (GPa),sigP (GPa),T (K),sigT (K),rho (g/cm^3),sigrho (g/cm^3),nu  (Pa/s),signu (Pa/s),Va (A^3/atom),Vm (cm^3/mol),sigVm (cm^3/mol),#Mg,#Si,#O,#H,H2O (mol %),MgO (mol %),SiO2 (mol %),apfu,Source
En,0.86932,0.05007,2992.65054,0.54924,2.583951853,6.65E-12,0.00228,5.15E-04,12.90296911,38.85084,1.00E-10,32,32,96,0,0.00,50.00,50.00,5.00,This Study
Bru,2.58205,0.04378,1770.15935,0.43226,9.027728837,2.25E-11,4.95E-04,1.46E-04,8.871702449,40.06904411,1.00E-10,32,0,64,64,50.00,50.00,0.00,7.50,This Study
Bru,4.21473,0.040587,1770.75839,0.33714,8.617377526,2.25E-11,5.89E-04,9.95E-05,8.468443247,38.24772392,1.00E-10,32,0,64,64,50.00,50.00,0.00,7.50,This Study
En,5.01188,0.0742,2992.23498,0.49803,2.871057614,8.21E-12,0.00376,0.00103,11.6126722,34.965756,1.00E-10,32,32,96,0,0.00,50.00,50.00,5.00,This Study
Bru,5.63992,0.03868,2955.01199,0.61924,2.145486919,5.35E-12,3.16E-04,9.97E-05,8.871702449,40.06904411,1.00E-10,32,0,64,64,50.00,50.00,0.00,7.50,This Study
Bru,6.38076,0.03875,1771.30261,0.54935,8.207026215,2.25E-11,7.83E-04,4.91E-04,8.065184044,36.42640374,1.00E-10,32,0,64,64,50.00,50.00,0.00,7.50,This Study
Bru,7.61456,0.040518,2954.55582,0.35132,2.247652963,5.88E-12,3.71E-04,1.72E-04,8.468443247,38.24772392,1.00E-10,32,0,64,64,50.00,50.00,0.00,7.50,This Study
Bru,9.18422,0.042403,1770.92706,0.51261,7.796674904,2.25E-11,0.00157,4.91E-04,7.661924842,34.60508355,1.00E-10,32,0,64,64,50.00,50.00,0.00,7.50,This Study
Bru,10.21402,0.050092,2955.3913,0.65861,2.360035611,6.48E-12,4.88E-04,1.34E-04,8.065184044,36.42640374,1.00E-10,32,0,64,64,50.00,50.00,0.00,7.50,This Study
En,11.95951,0.07347,2991.87019,0.33507,3.229939816,1.04E-11,0.00367,0.00185,10.32237529,31.080672,1.00E-10,32,32,96,0,0.00,50.00,50.00,5.00,This Study
Bru,12.84263,0.033454,1771.44922,0.37206,7.386323594,2.25E-11,0.0016,9.06E-04,7.25866564,32.78376336,1.00E-10,32,0,64,64,50.00,50.00,0.00,7.50,This Study
Bru,13.51691,0.039424,2955.21134,0.42394,2.484248012,1.00E-10,5.26E-04,1.93E-04,7.661924842,34.60508355,1.00E-10,32,0,64,64,50.00,50.00,0.00,7.50,This Study
Bru,17.72374,0.050675,2955.43953,0.3401,2.62226179,1.00E-10,7.02E-04,1.98E-04,7.25866564,32.78376336,1.00E-10,32,0,64,64,50.00,50.00,0.00,7.50,This Study
Bru,17.88633,0.051277,1771.42203,0.3025,6.975972283,1.00E-10,0.00244,7.39E-04,6.855406438,30.96244318,1.00E-10,32,0,64,64,50.00,50.00,0.00,7.50,This Study
Bru,20.8918,0.053363,1771.6697,0.28529,6.770796627,1.00E-10,0.00417,0.00126,6.653776837,30.05178308,1.00E-10,32,0,64,64,50.00,50.00,0.00,7.50,This Study
Bru,23.32065,0.050913,2955.54264,0.35704,2.776512484,1.00E-10,0.0011,4.28E-04,6.855406438,30.96244318,1.00E-10,32,0,64,64,50.00,50.00,0.00,7.50,This Study
Bru,24.38293,0.063099,1771.92894,0.40508,6.565620972,1.00E-10,0.00447,0.00116,6.452147236,29.14112299,1.00E-10,32,0,64,64,50.00,50.00,0.00,7.50,This Study
En,24.69447,0.1028,2991.08706,0.53289,3.69135979,1.00E-10,0.00724,0.00464,9.032078379,27.195588,1.00E-10,32,32,96,0,0.00,50.00,50.00,5.00,This Study
Bru,26.5547,0.045911,2955.41709,0.48672,2.860649225,1.00E-10,0.00126,3.53E-04,6.653776837,30.05178308,1.00E-10,32,0,64,64,50.00,50.00,0.00,7.50,This Study
Bru,30.55156,0.057857,2955.78832,0.29247,2.950044514,1.00E-10,0.00144,5.33E-04,6.452147236,29.14112299,1.00E-10,32,0,64,64,50.00,50.00,0.00,7.50,This Study
En,1.9448947,0.0610558,3000,0.319056,2.581660913,1.00E-10,NaN,NaN,12.91458631,38.88581939,1.00E-10,NaN,NaN,NaN,NaN,0.00,50.00,50.00,5.00,Stixrude & Karki (2005)
En,5.024311,0.0610558,3000,0.319056,2.867466438,1.00E-10,NaN,NaN,11.62736632,35.01,1.00E-10,NaN,NaN,NaN,NaN,0.00,50.00,50.00,5.00,Stixrude & Karki (2005)
En,12.80389,0.0610558,3000,0.319056,3.226389751,1.00E-10,NaN,NaN,10.33386704,31.11527365,1.00E-10,NaN,NaN,NaN,NaN,0.00,50.00,50.00,5.00,Stixrude & Karki (2005)
En,24.797407,0.0610558,3000,0.319056,3.688022834,1.00E-10,NaN,NaN,9.040367752,27.2205473,1.00E-10,NaN,NaN,NaN,NaN,0.00,50.00,50.00,5.00,Stixrude & Karki (2005)
En,54.7812,0.0610558,3000,0.319056,4.300328841,1.00E-10,NaN,NaN,7.753147243,23.34472635,1.00E-10,NaN,NaN,NaN,NaN,0.00,50.00,50.00,5.00,Stixrude & Karki (2005)
En,125.28363,0.0610558,3000,0.319056,5.161439589,1.00E-10,NaN,NaN,6.459647957,19.45,1.00E-10,NaN,NaN,NaN,NaN,0.00,50.00,50.00,5.00,Stixrude & Karki (2005)
En,3.4035656,0.0610558,4000,0.319056,2.581660913,1.00E-10,NaN,NaN,12.91458631,38.88581939,1.00E-10,NaN,NaN,NaN,NaN,0.00,50.00,50.00,5.00,Stixrude & Karki (2005)
En,8.103727,0.0610558,4000,0.319056,2.869015834,1.00E-10,NaN,NaN,11.62108703,34.99109304,1.00E-10,NaN,NaN,NaN,NaN,0.00,50.00,50.00,5.00,Stixrude & Karki (2005)
En,16.207455,0.0610558,4000,0.319056,3.226389751,1.00E-10,NaN,NaN,10.33386704,31.11527365,1.00E-10,NaN,NaN,NaN,NaN,0.00,50.00,50.00,5.00,Stixrude & Karki (2005)
En,31.604538,0.0610558,4000,0.319056,3.685463181,1.00E-10,NaN,NaN,9.046646529,27.2394527,1.00E-10,NaN,NaN,NaN,NaN,0.00,50.00,50.00,5.00,Stixrude & Karki (2005)
En,61.102108,0.0610558,4000,0.319056,4.300328841,1.00E-10,NaN,NaN,7.753147243,23.34472635,1.00E-10,NaN,NaN,NaN,NaN,0.00,50.00,50.00,5.00,Stixrude & Karki (2005)
En,135.17018,0.0610558,4000,0.319056,5.156427541,1.00E-10,NaN,NaN,6.465926735,19.4689054,1.00E-10,NaN,NaN,NaN,NaN,0.00,50.00,50.00,5.00,Stixrude & Karki (2005)
En,7.617504,0.0610558,6000,0.319056,2.581660913,1.00E-10,NaN,NaN,12.91458631,38.88581939,1.00E-10,NaN,NaN,NaN,NaN,0.00,50.00,50.00,5.00,Stixrude & Karki (2005)
En,12.965964,0.0610558,6000,0.319056,2.867466438,1.00E-10,NaN,NaN,11.62736632,35.01,1.00E-10,NaN,NaN,NaN,NaN,0.00,50.00,50.00,5.00,Stixrude & Karki (2005)
En,23.824959,0.0610558,6000,0.319056,3.226389751,1.00E-10,NaN,NaN,10.33386704,31.11527365,1.00E-10,NaN,NaN,NaN,NaN,0.00,50.00,50.00,5.00,Stixrude & Karki (2005)
En,41.004864,0.0610558,6000,0.319056,3.688022834,1.00E-10,NaN,NaN,9.040367752,27.2205473,1.00E-10,NaN,NaN,NaN,NaN,0.00,50.00,50.00,5.00,Stixrude & Karki (2005)
En,76.33711,0.0610558,6000,0.319056,4.300328841,1.00E-10,NaN,NaN,7.753147243,23.34472635,1.00E-10,NaN,NaN,NaN,NaN,0.00,50.00,50.00,5.00,Stixrude & Karki (2005)
